0,0.039,0.8860666809082032
16,0.043,0.8940666809082031
34,0.055,0.9040666809082031
51,0.073,0.9220666809082031
66,0.093,0.9360666809082031
83,0.113,0.9500666809082031
100,0.129,0.9620666809082031
117,0.141,0.9700666809082031
134,0.151,0.9740666809082031
150,0.155,0.9780666809082031
233,0.155,0.9720666809082031
